exp_no,learning_rate_init,hidden_layer_sizes,alpha,activation,PR_AUC,PR_std,ROC_AUC,rank,best
4,0.003,"(64, 32, 16)",0.001,relu,0.3934,0.0618,0.6613,1,<< BEST
7,0.003,"(64, 64)",0.01,relu,0.3433,0.1219,0.6178,2,
9,0.002,"(50, 25)",0.0001,relu,0.3281,0.0734,0.5963,3,
8,0.003,"(128,)",0.01,tanh,0.3064,0.0392,0.6223,4,
6,0.001,"(64, 64)",0.01,tanh,0.2612,0.1066,0.5857,5,
1,0.001,"(50, 25)",0.01,relu,0.2561,0.0561,0.5521,6,
5,0.005,"(32, 16)",0.01,relu,0.2442,0.1094,0.5844,7,
10,0.01,"(128,)",0.001,relu,0.198,0.045,0.5194,8,
3,0.001,"(64, 32, 16)",0.001,relu,0.1828,0.0493,0.44,9,
2,0.001,"(64, 64)",0.005,relu,0.1463,0.0276,0.4421,10,
