exp_no,subsample,reg_lambda,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,PR_AUC,PR_std,ROC_AUC,rank,best
8,0.9,1,350,1,4,0.05,0.2,0.9,0.5924,0.1235,0.8377,1,<< BEST
10,0.9,3,400,1,6,0.03,0.0,0.9,0.5765,0.12,0.8387,2,
5,0.9,3,200,3,4,0.1,0.2,0.8,0.5653,0.098,0.8285,3,
1,0.85,1,450,3,5,0.08,0.1,0.8,0.5621,0.11,0.8294,4,
3,0.9,4,400,3,5,0.05,0.0,0.9,0.5616,0.1143,0.8277,5,
9,0.9,2,400,3,4,0.1,0.0,0.9,0.5582,0.107,0.8183,6,
4,0.8,4,350,2,5,0.03,0.0,0.9,0.5549,0.1064,0.8314,7,
6,0.8,3,550,4,5,0.03,0.1,1.0,0.5544,0.1076,0.8215,8,
7,0.7,5,450,3,6,0.03,0.0,0.9,0.5532,0.106,0.8291,9,
2,0.8,5,200,3,5,0.03,0.0,0.9,0.5268,0.0829,0.8234,10,
