loan_key,branch,borrower,amount,days,status
Gasabo (1)-Loan5100,Gasabo (1),Gasabo (1)-124,1800000,943,active
Gasabo (1)-Loan5137,Gasabo (1),Gasabo (1)-10,2330000,851,active
Gasabo (1)-Loan5136,Gasabo (1),Gasabo (1)-141,2310000,790,active
Gasabo (1)-Loan5151,Gasabo (1),Gasabo (1)-20,2280000,790,active
Gasabo (1)-Loan5140,Gasabo (1),Gasabo (1)-148,2840000,790,active
Nyarugenge (1)-Loan1929,Nyarugenge (1),Nyarugenge (1)-75,2280000,790,active
Kicukiro (1)-Loan2654,Kicukiro (1),Kicukiro (1)-98,900000,790,active
Gasabo (1)-Loan5123,Gasabo (1),Gasabo (1)-91,1650000,760,active
Gasabo (1)-Loan5057,Gasabo (1),Gasabo (1)-2,850000,760,active
Gasabo (1)-Loan5111,Gasabo (1),Gasabo (1)-16,1700000,760,active
Kicukiro (1)-Loan2651,Kicukiro (1),Kicukiro (1)-30,3500000,760,active
Gasabo (1)-Loan5161,Gasabo (1),Gasabo (1)-134,1250000,760,active
Gasabo (1)-Loan5115,Gasabo (1),Gasabo (1)-132,1880000,760,active
Nyarugenge (1)-Loan1927,Nyarugenge (1),Nyarugenge (1)-17,2200000,760,active
Nyarugenge (1)-Loan1930,Nyarugenge (1),Nyarugenge (1)-56,2540000,760,active
