loan_key,branch,amount,predicted_risk
Gasabo (1)-Loan5116,Gasabo (1),200000,0.8833333373069763
Gasabo (1)-Loan5150,Gasabo (1),1450000,0.8700000047683716
Nyarugenge (1)-Loan1906,Nyarugenge (1),490000,0.8300000011920929
Gasabo (1)-Loan5108,Gasabo (1),1930000,0.7380864068865776
Gasabo (1)-Loan543,Gasabo (1),1500000,0.5533333480358124
Kicukiro (1)-Loan391,Kicukiro (1),3500000,0.4709250718355179
Gasabo (1)-Loan143,Gasabo (1),3500000,0.454285728931427
Nyarugenge (1)-Loan289,Nyarugenge (1),2200000,0.42229312658309937
Nyarugenge (1)-Loan467,Nyarugenge (1),1730000,0.4020535260438919
Kicukiro (1)-Loan467,Kicukiro (1),1730000,0.3973573297262192
Kicukiro (1)-Loan199,Kicukiro (1),3500000,0.3408924415707588
Nyarugenge (1)-Loan199,Nyarugenge (1),3500000,0.3408924415707588
Kicukiro (1)-Loan523,Kicukiro (1),1500000,0.3351878747344017
Kicukiro (1)-Loan267,Kicukiro (1),2690000,0.3242857217788696
Nyarugenge (1)-Loan316,Nyarugenge (1),1840000,0.323333340883255
Kicukiro (1)-Loan491,Kicukiro (1),2900000,0.32161290347576144
Nyarugenge (1)-Loan491,Nyarugenge (1),2900000,0.32161290347576144
Gasabo (1)-Loan946,Gasabo (1),3500000,0.3182795748114586
Kicukiro (1)-Loan395,Kicukiro (1),2000000,0.3009523883461952
Nyarugenge (1)-Loan269,Nyarugenge (1),2340000,0.28161290287971497
