C,class_weight,cv_pr_auc,std,rank
0.3,,0.346,0.08,1
0.1,,0.345,0.079,2
0.03,,0.345,0.078,3
0.01,,0.345,0.074,4
1.0,,0.343,0.087,5
2.0,,0.343,0.087,6
5.0,,0.342,0.087,7
20.0,,0.342,0.087,8
50.0,,0.342,0.087,9
10.0,,0.342,0.087,10
0.01,balanced,0.305,0.068,11
5.0,balanced,0.304,0.074,12
2.0,balanced,0.304,0.075,13
1.0,balanced,0.304,0.076,14
0.03,balanced,0.302,0.069,15
10.0,balanced,0.298,0.07,16
50.0,balanced,0.298,0.07,17
20.0,balanced,0.298,0.07,18
0.3,balanced,0.295,0.068,19
0.1,balanced,0.294,0.068,20
