learning_rate,max_depth,n_estimators,cv_pr_auc,std,rank
0.1,4,500,0.607,0.054,1
0.15,4,500,0.604,0.056,2
0.1,4,300,0.603,0.053,3
0.15,4,300,0.599,0.049,4
0.06,4,500,0.593,0.052,5
0.1,3,500,0.59,0.049,6
0.15,3,500,0.588,0.051,7
0.03,4,500,0.587,0.059,8
0.15,3,300,0.586,0.045,9
0.1,3,300,0.586,0.043,10
0.15,2,500,0.586,0.058,11
0.06,4,300,0.586,0.057,12
0.06,3,500,0.584,0.052,13
0.1,2,500,0.575,0.068,14
0.03,4,300,0.568,0.067,15
0.15,2,300,0.568,0.074,16
0.06,3,300,0.564,0.063,17
0.03,3,500,0.553,0.06,18
0.1,2,300,0.546,0.08,19
0.06,2,500,0.545,0.074,20
0.03,3,300,0.54,0.071,21
0.06,2,300,0.521,0.065,22
0.03,2,500,0.51,0.068,23
0.03,2,300,0.475,0.072,24
