features,model,settings_tried,cv_pr_auc,best_params
borrower_only,xgboost,24,0.612,"{'clf__learning_rate': 0.15, 'clf__max_depth': 4, 'clf__n_estimators': 500}"
borrower_plus_network,xgboost,24,0.607,"{'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 500}"
borrower_plus_network,random_forest,20,0.486,"{'clf__max_depth': None, 'clf__min_samples_leaf': 3}"
borrower_only,random_forest,20,0.484,"{'clf__max_depth': None, 'clf__min_samples_leaf': 3}"
borrower_only,decision_tree,20,0.379,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 10}"
borrower_plus_network,neural_net,20,0.35,"{'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (64, 32)}"
borrower_plus_network,decision_tree,20,0.347,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 20}"
borrower_plus_network,logistic_regression,20,0.346,"{'clf__C': 0.3, 'clf__class_weight': None}"
borrower_only,neural_net,20,0.329,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (64,)}"
borrower_only,logistic_regression,20,0.278,"{'clf__C': 1, 'clf__class_weight': None}"
