feature,mean_abs_shap,kind
interest_rate,1.2565864,individual
salary,1.0647798,individual
loan_to_salary,0.76184994,individual
account_age,0.7206557,individual
loan_to_savings,0.6786845,individual
g_sav_ratio,0.66789186,network
savings,0.41481087,individual
community_prior_default_rate,0.36142516,network
g_mean_salary,0.3039708,network
g_mean_savings,0.22666271,network
log_amount,0.19341624,individual
g_prior_arrears_rate,0.12554882,network
n_guarantors,0.10433717,network
g_prior_default_rate,0.01077923,network
b_prior_loans,0.00039695267,individual
b_prior_writeoff,0.0,individual
b_prior_arrears_rate,0.0,individual
b_recent_loans,0.0,individual
