max_depth,min_samples_leaf,pr_auc,roc_auc,f1,precision,recall,accuracy,std_pr,rank
8,20,0.347,0.857,0.22,0.129,0.786,0.887,0.088,1
8,10,0.311,0.845,0.216,0.127,0.754,0.889,0.102,2
6,20,0.271,0.89,0.22,0.128,0.836,0.879,0.066,3
8,5,0.255,0.831,0.213,0.126,0.738,0.89,0.083,4
8,50,0.251,0.873,0.209,0.121,0.795,0.879,0.04,5
6,50,0.242,0.868,0.201,0.115,0.824,0.867,0.035,6
6,10,0.241,0.885,0.221,0.129,0.829,0.881,0.101,7
5,50,0.234,0.875,0.199,0.114,0.816,0.866,0.048,8
6,5,0.214,0.881,0.221,0.129,0.825,0.881,0.061,9
4,50,0.208,0.878,0.195,0.111,0.846,0.857,0.041,10
5,10,0.19,0.888,0.217,0.125,0.853,0.874,0.063,11
5,5,0.187,0.884,0.216,0.125,0.844,0.875,0.06,12
5,20,0.183,0.882,0.215,0.123,0.854,0.873,0.056,13
3,50,0.181,0.875,0.19,0.108,0.833,0.85,0.03,14
4,10,0.147,0.87,0.202,0.115,0.846,0.864,0.059,15
4,5,0.147,0.87,0.202,0.115,0.846,0.864,0.059,15
4,20,0.146,0.868,0.202,0.115,0.842,0.864,0.059,17
3,5,0.126,0.863,0.193,0.11,0.829,0.854,0.043,18
3,10,0.126,0.863,0.193,0.11,0.829,0.854,0.043,18
3,20,0.126,0.863,0.193,0.11,0.829,0.854,0.043,18
