C,class_weight,pr_auc,roc_auc,f1,precision,recall,accuracy,std_pr,rank
0.3,,0.346,0.891,0.216,0.57,0.137,0.98,0.08,1
0.1,,0.345,0.892,0.216,0.57,0.137,0.98,0.079,2
0.03,,0.345,0.895,0.203,0.529,0.128,0.98,0.078,3
0.01,,0.345,0.896,0.164,0.511,0.101,0.98,0.074,4
1.0,,0.343,0.891,0.207,0.552,0.131,0.98,0.087,5
2.0,,0.343,0.891,0.207,0.552,0.131,0.98,0.087,6
5.0,,0.342,0.891,0.207,0.552,0.131,0.98,0.087,7
20.0,,0.342,0.891,0.207,0.552,0.131,0.98,0.087,8
50.0,,0.342,0.891,0.207,0.552,0.131,0.98,0.087,9
10.0,,0.342,0.891,0.207,0.552,0.131,0.98,0.087,10
0.01,balanced,0.305,0.902,0.223,0.13,0.802,0.886,0.068,11
5.0,balanced,0.304,0.902,0.221,0.129,0.802,0.885,0.074,12
2.0,balanced,0.304,0.902,0.221,0.129,0.802,0.885,0.075,13
1.0,balanced,0.304,0.902,0.221,0.129,0.802,0.885,0.076,14
0.03,balanced,0.302,0.902,0.221,0.129,0.802,0.885,0.069,15
10.0,balanced,0.298,0.902,0.221,0.129,0.802,0.885,0.07,16
50.0,balanced,0.298,0.902,0.221,0.129,0.802,0.885,0.07,17
20.0,balanced,0.298,0.902,0.221,0.129,0.802,0.885,0.07,18
0.3,balanced,0.295,0.902,0.221,0.129,0.802,0.884,0.068,19
0.1,balanced,0.294,0.901,0.221,0.129,0.802,0.885,0.068,20
