alpha,hidden_layer_sizes,pr_auc,roc_auc,f1,precision,recall,accuracy,std_pr,rank
0.01,"(64, 32)",0.35,0.886,0.252,0.69,0.159,0.981,0.064,1
0.0001,"(64,)",0.336,0.851,0.239,0.693,0.153,0.981,0.078,2
0.001,"(64,)",0.336,0.851,0.239,0.693,0.153,0.981,0.078,3
0.1,"(64, 32)",0.336,0.878,0.27,0.72,0.175,0.981,0.059,4
0.0001,"(64, 32)",0.33,0.875,0.246,0.719,0.154,0.981,0.056,5
0.001,"(64, 32)",0.33,0.876,0.257,0.708,0.165,0.981,0.055,6
0.1,"(32, 16)",0.318,0.808,0.224,0.492,0.148,0.98,0.159,7
0.01,"(64,)",0.309,0.818,0.216,0.715,0.129,0.981,0.062,8
0.01,"(32, 16)",0.306,0.793,0.222,0.51,0.144,0.981,0.154,9
0.1,"(16,)",0.274,0.816,0.198,0.594,0.124,0.98,0.115,10
0.01,"(16,)",0.263,0.79,0.167,0.469,0.109,0.98,0.13,11
0.0001,"(16,)",0.263,0.79,0.167,0.469,0.109,0.98,0.13,12
0.001,"(16,)",0.263,0.79,0.167,0.469,0.109,0.98,0.13,13
0.1,"(64,)",0.249,0.77,0.181,0.564,0.109,0.981,0.097,14
0.0001,"(32, 16)",0.219,0.71,0.167,0.338,0.112,0.98,0.16,15
0.001,"(32, 16)",0.218,0.71,0.171,0.349,0.113,0.98,0.159,16
0.01,"(32,)",0.182,0.701,0.128,0.245,0.088,0.98,0.165,17
0.001,"(32,)",0.181,0.7,0.128,0.245,0.088,0.98,0.164,18
0.0001,"(32,)",0.181,0.7,0.128,0.245,0.088,0.98,0.164,19
0.1,"(32,)",0.176,0.699,0.113,0.227,0.076,0.979,0.156,20
