max_depth,min_samples_leaf,pr_auc,roc_auc,f1,precision,recall,accuracy,std_pr,rank
,3,0.486,0.954,0.441,0.702,0.325,0.983,0.053,1
,5,0.485,0.952,0.474,0.559,0.419,0.981,0.051,2
,10,0.47,0.95,0.419,0.362,0.52,0.971,0.063,3
,20,0.447,0.946,0.346,0.241,0.669,0.948,0.073,4
8.0,10,0.441,0.946,0.358,0.259,0.63,0.953,0.076,5
8.0,20,0.437,0.946,0.33,0.222,0.698,0.941,0.071,6
8.0,5,0.429,0.944,0.372,0.282,0.593,0.959,0.07,7
6.0,20,0.412,0.941,0.287,0.181,0.736,0.925,0.079,8
6.0,10,0.404,0.938,0.293,0.189,0.703,0.93,0.084,9
8.0,3,0.403,0.941,0.361,0.278,0.554,0.96,0.072,10
,50,0.401,0.941,0.259,0.158,0.759,0.911,0.079,11
8.0,50,0.391,0.94,0.26,0.158,0.762,0.911,0.084,12
4.0,10,0.382,0.933,0.244,0.146,0.777,0.9,0.069,13
6.0,5,0.378,0.939,0.294,0.192,0.687,0.931,0.083,14
6.0,50,0.378,0.94,0.251,0.152,0.767,0.906,0.081,15
4.0,20,0.377,0.934,0.239,0.143,0.775,0.898,0.075,16
6.0,3,0.374,0.937,0.295,0.194,0.673,0.932,0.084,17
4.0,5,0.366,0.933,0.244,0.146,0.782,0.9,0.077,18
4.0,3,0.357,0.932,0.245,0.147,0.779,0.901,0.077,19
4.0,50,0.357,0.934,0.234,0.138,0.807,0.892,0.089,20
