learning_rate,max_depth,n_estimators,pr_auc,roc_auc,f1,precision,recall,accuracy,std_pr,rank
0.1,4,500,0.607,0.936,0.595,0.671,0.541,0.985,0.054,1
0.15,4,500,0.604,0.936,0.602,0.685,0.54,0.986,0.056,2
0.1,4,300,0.603,0.935,0.557,0.578,0.552,0.982,0.053,3
0.15,4,300,0.599,0.935,0.597,0.657,0.553,0.985,0.049,4
0.06,4,500,0.593,0.934,0.554,0.561,0.562,0.982,0.052,5
0.1,3,500,0.59,0.935,0.531,0.519,0.553,0.98,0.049,6
0.15,3,500,0.588,0.93,0.569,0.615,0.534,0.984,0.051,7
0.03,4,500,0.587,0.937,0.459,0.377,0.623,0.97,0.059,8
0.15,3,300,0.586,0.934,0.506,0.472,0.555,0.978,0.045,9
0.1,3,300,0.586,0.937,0.464,0.38,0.618,0.971,0.043,10
0.15,2,500,0.586,0.933,0.48,0.381,0.673,0.971,0.058,11
0.06,4,300,0.586,0.935,0.486,0.419,0.603,0.974,0.057,12
0.06,3,500,0.584,0.932,0.483,0.394,0.641,0.973,0.052,13
0.1,2,500,0.575,0.937,0.415,0.301,0.7,0.961,0.068,14
0.03,4,300,0.568,0.941,0.383,0.274,0.686,0.955,0.067,15
0.15,2,300,0.568,0.938,0.415,0.296,0.727,0.959,0.074,16
0.06,3,300,0.564,0.935,0.413,0.296,0.713,0.959,0.063,17
0.03,3,500,0.553,0.937,0.377,0.258,0.735,0.951,0.06,18
0.1,2,300,0.546,0.941,0.365,0.243,0.774,0.945,0.08,19
0.06,2,500,0.545,0.942,0.368,0.245,0.78,0.946,0.074,20
0.03,3,300,0.54,0.941,0.322,0.206,0.787,0.932,0.071,21
0.06,2,300,0.521,0.944,0.314,0.197,0.819,0.927,0.065,22
0.03,2,500,0.51,0.945,0.3,0.186,0.822,0.922,0.068,23
0.03,2,300,0.475,0.944,0.262,0.157,0.826,0.905,0.072,24
