features,model,settings_tried,cv_pr_auc,roc_auc,f1,precision,recall,accuracy,best_params
borrower_only,xgboost,24,0.612,0.927,0.583,0.631,0.545,0.984,"{'clf__learning_rate': 0.15, 'clf__max_depth': 4, 'clf__n_estimators': 500}"
borrower_plus_network,xgboost,24,0.607,0.936,0.595,0.671,0.541,0.985,"{'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 500}"
borrower_plus_network,random_forest,20,0.486,0.954,0.441,0.702,0.325,0.983,"{'clf__max_depth': None, 'clf__min_samples_leaf': 3}"
borrower_only,random_forest,20,0.484,0.936,0.469,0.562,0.406,0.982,"{'clf__max_depth': None, 'clf__min_samples_leaf': 3}"
borrower_only,decision_tree,20,0.379,0.881,0.239,0.143,0.795,0.896,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 10}"
borrower_plus_network,neural_net,20,0.35,0.886,0.252,0.69,0.159,0.981,"{'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (64, 32)}"
borrower_plus_network,decision_tree,20,0.347,0.857,0.22,0.129,0.786,0.887,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 20}"
borrower_plus_network,logistic_regression,20,0.346,0.891,0.216,0.57,0.137,0.98,"{'clf__C': 0.3, 'clf__class_weight': None}"
borrower_only,neural_net,20,0.329,0.904,0.141,0.749,0.079,0.981,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (64,)}"
borrower_only,logistic_regression,20,0.278,0.882,0.088,0.633,0.049,0.98,"{'clf__C': 1, 'clf__class_weight': None}"
