features,model,threshold,tn,fp,fn,tp,recall,precision,f1,pr_auc
borrower_plus_network,xgboost,0.019,10164,625,45,181,0.801,0.225,0.351,0.615
borrower_only,xgboost,0.004,9656,1133,45,181,0.801,0.138,0.235,0.612
borrower_plus_network,random_forest,0.105,9925,864,45,181,0.801,0.173,0.285,0.478
borrower_only,random_forest,0.151,9935,854,45,181,0.801,0.175,0.287,0.473
borrower_only,decision_tree,0.337,9473,1316,45,181,0.801,0.121,0.21,0.406
borrower_plus_network,decision_tree,0.0,0,10789,0,226,1.0,0.021,0.04,0.365
borrower_plus_network,logistic_regression,0.026,9669,1120,45,181,0.801,0.139,0.237,0.331
borrower_plus_network,neural_net,0.031,9138,1651,45,181,0.801,0.099,0.176,0.33
borrower_only,neural_net,0.052,9810,979,45,181,0.801,0.156,0.261,0.32
borrower_only,logistic_regression,0.031,9640,1149,45,181,0.801,0.136,0.233,0.258
