Loan ID,Borrower ID,branch,Disbursement Date,Disbursement Amount,Savings,Salary,Interest Rate,n_guarantors,label,outcome
Loan2617805,Client61671,Gasabo,2022-01-03,950000,193780,113441,13,2,0,Normal
Loan2617915,Client44718,Gasabo,2022-01-03,830000,2084870,289603,13,2,0,Normal
Loan2618915,Client3721,Rubavu,2022-01-04,593000,510235,171859,13,3,0,Normal
Loan2618917,Client63974,Rubavu,2022-01-04,1039000,251712,142657,13,3,0,Normal
Loan2619455,Client30252,Nyarugenge,2022-01-05,1450000,543535,203035,13,2,0,Normal
Loan2619570,Client31585,Rusizi,2022-01-05,2700000,1950466,241518,13,2,0,Normal
Loan2619812,Client119430,Rubavu,2022-01-05,2440000,249569,232545,13,4,0,Normal
Loan2619917,Client350,Rusizi,2022-01-05,1320000,956580,138260,13,3,0,Normal
Loan2620490,Client56874,Rusizi,2022-01-06,2140000,908424,249265,13,3,0,Normal
Loan2620593,Client164692,Nyagatare,2022-01-06,800000,323064,214000,14,3,0,Normal
Loan2620693,Client18702,Rubavu,2022-01-06,1105000,100116,149249,13,3,0,Normal
Loan2620754,Client2421,Rubavu,2022-01-06,3265000,2256302,286871,13,2,0,Normal
Loan2620944,Client24858,Rutsiro,2022-01-07,1039000,227047,119766,13,2,0,Normal
Loan2621267,Client3555,Ngororero,2022-01-07,2720000,517451,304558,13,3,0,Normal
Loan2621708,Client105267,Nyagatare,2022-01-07,930000,99189,125172,13,3,0,Normal
Loan2622124,Client130077,Nyamagabe,2022-01-10,2380000,187802,199197,13,3,0,Normal
Loan2622355,Client26053,Ngororero,2022-01-10,1230000,371388,259885,13,3,0,Normal
Loan2622543,Client404,HQ,2022-01-10,6000000,434447,242897,11,1,0,Normal
Loan2622810,Client104085,Nyamagabe,2022-01-11,2270000,1123488,135660,13,3,1,Written off
Loan2622946,Client92800,Rusizi,2022-01-11,820000,347094,131385,13,3,0,Normal
Loan2623129,Client104321,Nyagatare,2022-01-11,3500000,2145811,290385,14,3,0,Normal
Loan2623198,Client2413,Rutsiro,2022-01-11,400000,402692,156037,13,2,0,Normal
Loan2623271,Client75998,Rubavu,2022-01-11,2600000,1475991,164195,13,3,0,Normal
Loan2623547,Client5575,Rusizi,2022-01-12,1160000,739810,148698,13,3,0,Normal
Loan2623867,Client80686,Rusizi,2022-01-13,950000,473502,113164,13,2,0,Normal
Loan2623960,Client51892,Nyagatare,2022-01-13,1130000,311210,175070,14,2,1,Written off
Loan2624109,Client75455,Rusizi,2022-01-13,3500000,2776067,228208,14,2,0,Normal
Loan2624190,Client100156,Rusizi,2022-01-13,2500000,1583882,245603,13,3,0,Normal
Loan2624197,Client15691,Kicukiro,2022-01-13,2760000,417674,277770,13,2,0,Normal
Loan2624335,Client121614,Nyarugenge,2022-01-14,750000,158791,122051,13,2,0,Normal
Loan2624387,Client63055,Nyamagabe,2022-01-14,750000,70195,116849,13,2,0,Normal
Loan2624479,Client66839,Rubavu,2022-01-14,930000,110181,112993,13,3,0,Normal
Loan2624529,Client121910,Gasabo,2022-01-14,2430000,612057,231690,13,3,0,Normal
Loan2624630,Client80103,Gasabo,2022-01-14,2230000,585789,242442,13,3,0,Normal
Loan2624989,Client28949,Gasabo,2022-01-17,1300000,750650,136630,13,3,0,Normal
Loan2624991,Client64700,Rusizi,2022-01-17,2540000,214863,224201,13,3,0,Normal
Loan2625015,Client17182,Kicukiro,2022-01-17,1220000,994361,131374,13,2,0,Normal
Loan2625154,Client4219,Gasabo,2022-01-18,1150000,759903,126996,13,3,0,Normal
Loan2625217,Client132859,Kicukiro,2022-01-18,2480000,198746,222482,13,2,0,Normal
Loan2625232,Client56581,Nyagatare,2022-01-18,940000,290267,110730,13,2,0,Normal
Loan2625574,Client101259,Nyarugenge,2022-01-19,1060000,758223,138396,13,2,0,Normal
Loan2625576,Client142027,Ngororero,2022-01-19,1900000,353729,202716,13,3,0,Normal
Loan2625613,Client152218,Nyagatare,2022-01-19,600000,10983,136080,14,2,1,Written off
Loan2625796,Client18045,Gasabo,2022-01-20,1100000,946165,125462,13,2,0,Normal
Loan2625816,Client129756,Rusizi,2022-01-20,700000,370426,96370,13,2,0,Normal
Loan2625896,Client132448,Kicukiro,2022-01-20,2470000,240903,220765,13,2,0,Normal
Loan2625981,Client133966,Rubavu,2022-01-20,700000,61117,117794,13,3,0,Normal
Loan2625991,Client118193,Rutsiro,2022-01-20,613000,371631,175922,13,3,0,Normal
Loan2626210,Client132652,Nyamagabe,2022-01-21,750000,132553,100515,13,2,0,Normal
Loan2626331,Client125559,Nyamagabe,2022-01-21,2400000,105597,270431,13,2,0,Normal
Loan2626386,Client37125,Gasabo,2022-01-21,2640000,780278,270626,13,2,0,Normal
Loan2626463,Client123128,Nyanza,2022-01-21,770000,80040,95291,13,2,0,Normal
Loan2626965,Client128697,Nyagatare,2022-01-24,2420000,965768,226317,13,3,0,Normal
Loan2627126,Client23490,Rusizi,2022-01-24,2310000,156799,286016,13,3,0,Normal
Loan2627152,Client66168,Ngororero,2022-01-24,1120000,374144,177967,14,1,0,Normal
Loan2627483,Client113305,Nyanza,2022-01-25,2140000,811505,202721,13,2,0,Normal
Loan2627493,Client133912,Nyagatare,2022-01-25,2400000,297799,226317,13,3,0,Normal
Loan2627597,Client113396,Rusizi,2022-01-25,3500000,504768,317744,13,2,0,Normal
Loan2627648,Client118281,Rubavu,2022-01-25,800000,513486,107377,13,2,0,Normal
Loan2627688,Client163838,Nyarugenge,2022-01-25,1120000,388005,77000,14,3,0,Normal
Loan2627747,Client73512,Nyagatare,2022-01-25,1000000,233826,110976,13,2,0,Normal
Loan2627924,Client30986,Rubavu,2022-01-26,1520000,360521,151889,13,3,0,Normal
Loan2627975,Client91037,Nyamagabe,2022-01-26,2300000,1270944,205850,13,3,0,Normal
Loan2628094,Client13087,Nyanza,2022-01-26,1040000,267543,123356,13,3,0,Normal
