max_depth,min_samples_leaf,pr_auc,roc_auc,f1,precision,recall,accuracy,std_pr,rank
8,23,0.329,0.852,0.214,0.125,0.777,0.885,0.057,1
9,28,0.313,0.865,0.219,0.129,0.773,0.887,0.04,2
8,15,0.302,0.852,0.215,0.126,0.777,0.886,0.054,3
7,42,0.272,0.864,0.195,0.111,0.815,0.864,0.053,4
6,19,0.271,0.89,0.22,0.128,0.836,0.879,0.066,5
9,48,0.267,0.874,0.216,0.125,0.81,0.88,0.042,6
6,40,0.267,0.867,0.204,0.117,0.827,0.869,0.07,7
6,25,0.265,0.88,0.215,0.125,0.825,0.877,0.064,8
8,56,0.25,0.873,0.204,0.117,0.818,0.87,0.042,9
6,6,0.216,0.884,0.221,0.129,0.829,0.88,0.063,10
4,12,0.147,0.87,0.202,0.115,0.846,0.864,0.059,11
4,28,0.146,0.868,0.202,0.115,0.842,0.864,0.058,12
4,26,0.146,0.868,0.202,0.115,0.842,0.864,0.058,12
3,25,0.126,0.863,0.193,0.11,0.829,0.854,0.043,14
2,16,0.123,0.863,0.175,0.098,0.85,0.837,0.043,15
