alpha,hidden_layer_sizes,pr_auc,roc_auc,f1,precision,recall,accuracy,std_pr,rank
0.0006870614282613297,"(64, 32)",0.348,0.886,0.238,0.659,0.151,0.981,0.063,1
0.002537815508265664,"(64,)",0.336,0.851,0.239,0.693,0.153,0.981,0.078,2
4.207053950287933e-05,"(64,)",0.336,0.851,0.239,0.693,0.153,0.981,0.078,3
0.0002920433847181409,"(64,)",0.336,0.851,0.239,0.693,0.153,0.981,0.078,4
1.2366582530130825e-05,"(64,)",0.336,0.851,0.239,0.693,0.153,0.981,0.078,5
0.00031489116479568613,"(64, 32)",0.33,0.875,0.253,0.728,0.159,0.981,0.056,6
5.4167545832474595e-05,"(64, 32)",0.33,0.875,0.246,0.719,0.154,0.981,0.056,7
5.3370327626039544e-05,"(64, 32)",0.33,0.875,0.245,0.708,0.154,0.981,0.056,8
1.536960311060883e-05,"(32, 16)",0.306,0.794,0.22,0.498,0.144,0.981,0.153,9
0.0012561043700013551,"(32, 16)",0.219,0.71,0.174,0.342,0.117,0.98,0.16,10
0.0024400607090817534,"(32,)",0.182,0.7,0.128,0.245,0.088,0.98,0.164,11
0.002950706670790532,"(32,)",0.182,0.701,0.128,0.245,0.088,0.98,0.164,12
0.0028016351587162596,"(32,)",0.182,0.7,0.128,0.245,0.088,0.98,0.164,13
0.007726718477963434,"(32,)",0.182,0.701,0.128,0.245,0.088,0.98,0.164,14
1.2087541473056957e-05,"(32,)",0.181,0.7,0.128,0.245,0.088,0.98,0.164,15
