C,class_weight,pr_auc,roc_auc,f1,precision,recall,accuracy,std_pr,rank
0.04661686413912769,,0.346,0.893,0.216,0.57,0.137,0.98,0.079,1
0.008260808399079604,,0.344,0.896,0.165,0.577,0.101,0.98,0.074,2
0.008263688714158009,,0.344,0.896,0.165,0.577,0.101,0.98,0.074,3
3.4702669886504163,,0.343,0.891,0.207,0.552,0.131,0.98,0.087,4
14.528246637516036,,0.343,0.891,0.207,0.552,0.131,0.98,0.087,5
0.004982752357076452,,0.341,0.895,0.162,0.611,0.097,0.98,0.073,6
0.0019517224641449498,,0.327,0.892,0.143,0.626,0.083,0.98,0.069,7
0.0019145111285710716,,0.327,0.892,0.143,0.626,0.083,0.98,0.069,8
0.0010090061869151559,,0.317,0.889,0.114,0.518,0.065,0.98,0.069,9
1.1435780278433403,balanced,0.304,0.902,0.221,0.129,0.802,0.885,0.076,10
0.9846738873614566,balanced,0.304,0.902,0.221,0.129,0.802,0.885,0.076,11
0.4206039057901998,balanced,0.298,0.902,0.221,0.129,0.802,0.885,0.071,12
0.14445251022763064,balanced,0.295,0.902,0.221,0.129,0.802,0.885,0.068,13
0.16949768237884735,balanced,0.295,0.902,0.221,0.129,0.802,0.885,0.068,14
0.0745934328572655,balanced,0.294,0.902,0.221,0.129,0.802,0.885,0.068,15
