max_depth,max_features,min_samples_leaf,pr_auc,roc_auc,f1,precision,recall,accuracy,std_pr,rank
,,9,0.531,0.945,0.503,0.46,0.568,0.978,0.099,1
,,24,0.501,0.942,0.373,0.259,0.692,0.953,0.091,2
8.0,,26,0.48,0.94,0.314,0.204,0.724,0.935,0.089,3
8.0,,44,0.463,0.937,0.288,0.181,0.744,0.925,0.08,4
12.0,,49,0.461,0.936,0.275,0.17,0.744,0.92,0.079,5
12.0,sqrt,17,0.45,0.948,0.37,0.264,0.661,0.954,0.061,6
,log2,26,0.441,0.945,0.322,0.215,0.699,0.94,0.079,7
12.0,log2,24,0.441,0.945,0.324,0.217,0.687,0.941,0.073,8
8.0,sqrt,23,0.441,0.945,0.326,0.215,0.715,0.939,0.07,9
,sqrt,29,0.44,0.945,0.315,0.205,0.721,0.936,0.073,10
6.0,,25,0.43,0.933,0.259,0.159,0.755,0.911,0.091,11
8.0,,5,0.425,0.935,0.294,0.191,0.679,0.933,0.08,12
12.0,log2,40,0.417,0.943,0.283,0.177,0.752,0.921,0.078,13
,sqrt,41,0.408,0.942,0.281,0.174,0.763,0.92,0.095,14
6.0,sqrt,35,0.402,0.94,0.267,0.164,0.756,0.915,0.072,15
