colsample_bytree,learning_rate,max_depth,n_estimators,scale_pos_weight,subsample,pr_auc,roc_auc,f1,precision,recall,accuracy,std_pr,rank
0.7975990992289792,0.048944881947980225,3,566,1,0.8760253496991544,0.659,0.951,0.627,0.91,0.479,0.988,0.066,1
0.8337498258560773,0.02517705400593095,4,287,1,0.8803345035229626,0.653,0.958,0.561,0.9,0.409,0.987,0.057,2
0.8777243706586126,0.022257706349811456,4,334,1,0.8351497755908628,0.653,0.958,0.581,0.897,0.431,0.987,0.068,3
0.9895765921792413,0.08092155941744007,2,240,1,0.9406590942262119,0.65,0.951,0.602,0.893,0.456,0.988,0.071,4
0.7293016342019151,0.09666361264976928,4,463,1,0.7520093960523315,0.63,0.948,0.589,0.877,0.444,0.987,0.062,5
0.8123620356542087,0.1785436060870726,4,271,1,0.879055047383946,0.628,0.943,0.575,0.823,0.442,0.987,0.068,6
0.7069187275124247,0.06695833655111026,4,369,48,0.7876433945605654,0.624,0.949,0.571,0.564,0.59,0.982,0.05,7
0.7039794883479599,0.17507807036012082,3,441,48,0.7913841307520112,0.619,0.943,0.598,0.626,0.58,0.984,0.053,8
0.9779976597381381,0.10673380486842059,4,414,48,0.7135681866731614,0.615,0.941,0.602,0.663,0.553,0.985,0.057,9
0.8099085529881075,0.057161021316138726,4,250,48,0.8542703315240834,0.611,0.948,0.482,0.393,0.635,0.973,0.062,10
0.7554563366576581,0.1864724270356296,3,243,48,0.8185450708005443,0.604,0.94,0.535,0.497,0.596,0.979,0.056,11
0.8173181822719722,0.030427486853307414,3,589,48,0.8640130838029838,0.595,0.948,0.417,0.303,0.701,0.961,0.068,12
0.7002336297523043,0.19644526032175072,2,513,48,0.7021198915659151,0.592,0.936,0.517,0.45,0.614,0.977,0.074,13
0.7223651931039312,0.1940514678824146,2,335,48,0.7042239468145253,0.571,0.936,0.447,0.346,0.662,0.967,0.074,14
0.9124217733388136,0.02097077545038924,3,543,48,0.981565812704725,0.554,0.943,0.352,0.234,0.76,0.943,0.064,15
