features,model,settings_tried,cv_pr_auc,roc_auc,f1,precision,recall,accuracy,best_params
borrower_plus_network,xgboost,15,0.659,0.951,0.627,0.91,0.479,0.988,"{'clf__colsample_bytree': np.float64(0.7975990992289792), 'clf__learning_rate': np.float64(0.048944881947980225), 'clf__max_depth': 3, 'clf__n_estimators': 566, 'clf__scale_pos_weight': 1, 'clf__subsample': np.float64(0.8760253496991544)}"
borrower_only,xgboost,15,0.641,0.942,0.607,0.861,0.47,0.988,"{'clf__colsample_bytree': np.float64(0.7975990992289792), 'clf__learning_rate': np.float64(0.048944881947980225), 'clf__max_depth': 3, 'clf__n_estimators': 566, 'clf__scale_pos_weight': 1, 'clf__subsample': np.float64(0.8760253496991544)}"
borrower_only,random_forest,15,0.572,0.931,0.51,0.431,0.631,0.976,"{'clf__max_depth': None, 'clf__max_features': None, 'clf__min_samples_leaf': 9}"
borrower_plus_network,random_forest,15,0.531,0.945,0.503,0.46,0.568,0.978,"{'clf__max_depth': None, 'clf__max_features': None, 'clf__min_samples_leaf': 9}"
borrower_only,decision_tree,15,0.374,0.874,0.221,0.13,0.79,0.884,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 28}"
borrower_plus_network,feed_forward_nn,15,0.348,0.886,0.238,0.659,0.151,0.981,"{'clf__alpha': np.float64(0.0006870614282613297), 'clf__hidden_layer_sizes': (64, 32)}"
borrower_plus_network,logistic_regression,15,0.346,0.893,0.216,0.57,0.137,0.98,"{'clf__C': np.float64(0.04661686413912769), 'clf__class_weight': None}"
borrower_only,feed_forward_nn,15,0.329,0.904,0.141,0.749,0.079,0.981,"{'clf__alpha': np.float64(0.0002920433847181409), 'clf__hidden_layer_sizes': (64,)}"
borrower_plus_network,decision_tree,15,0.329,0.852,0.214,0.125,0.777,0.885,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 23}"
borrower_only,logistic_regression,15,0.278,0.882,0.088,0.633,0.049,0.98,"{'clf__C': np.float64(14.528246637516036), 'clf__class_weight': None}"
