feature,mean_abs_shap,kind
interest_rate,0.80950105,individual
salary,0.78685254,individual
loan_to_salary,0.5386795,individual
account_age,0.49701452,individual
g_sav_ratio,0.457663,network
loan_to_savings,0.41473296,individual
savings,0.2827159,individual
community_prior_default_rate,0.2215119,network
g_mean_savings,0.19292124,network
g_mean_salary,0.18318844,network
log_amount,0.15025589,individual
g_prior_arrears_rate,0.106663205,network
n_guarantors,0.06530737,network
g_prior_default_rate,0.013904798,network
b_prior_arrears_rate,0.0,individual
b_prior_writeoff,0.0,individual
b_prior_loans,0.0,individual
b_recent_loans,0.0,individual
