feature,perm_importance,kind
salary,0.2902,individual
interest_rate,0.1993,individual
account_age,0.132,individual
loan_to_savings,0.0688,individual
loan_to_salary,0.0406,individual
g_sav_ratio,0.0349,network
log_amount,0.0242,individual
savings,0.0167,individual
g_prior_arrears_rate,0.0098,network
n_guarantors,0.0016,network
b_prior_arrears_rate,0.0,individual
b_prior_writeoff,0.0,individual
b_prior_loans,0.0,individual
b_recent_loans,0.0,individual
g_prior_default_rate,-0.0003,network
g_mean_salary,-0.0017,network
g_mean_savings,-0.0043,network
community_prior_default_rate,-0.0056,network
