features,model,threshold,tn,fp,fn,tp,recall,precision,f1,pr_auc
borrower_plus_network,xgboost,0.025,10206,583,45,181,0.801,0.237,0.366,0.655
borrower_only,xgboost,0.023,10023,766,45,181,0.801,0.191,0.309,0.637
borrower_only,random_forest,0.181,9973,816,45,181,0.801,0.182,0.296,0.567
borrower_plus_network,random_forest,0.211,10059,730,45,181,0.801,0.199,0.318,0.523
borrower_only,decision_tree,0.105,9069,1720,42,184,0.814,0.097,0.173,0.393
borrower_plus_network,decision_tree,0.0,0,10789,0,226,1.0,0.021,0.04,0.344
borrower_plus_network,logistic_regression,0.025,9633,1156,45,181,0.801,0.135,0.232,0.332
borrower_plus_network,feed_forward_nn,0.031,9146,1643,45,181,0.801,0.099,0.177,0.326
borrower_only,feed_forward_nn,0.052,9810,979,45,181,0.801,0.156,0.261,0.32
borrower_only,logistic_regression,0.03,9640,1149,45,181,0.801,0.136,0.233,0.258
