comm,loans,bad,bad_rate,members
638,1,1,1.0,4
18,3,3,1.0,4
50,1,1,1.0,3
635,1,1,1.0,4
27,2,2,1.0,4
9,1,1,1.0,3
36,1,1,1.0,2
1161,1,1,1.0,4
591,1,1,1.0,3
233,1,1,1.0,4
531,1,1,1.0,3
61,1,1,1.0,4
58,1,1,1.0,3
37,3,3,1.0,7
14,6,5,0.8333333333333334,9
524,4,3,0.75,4
563,8,5,0.625,10
371,2,1,0.5,5
73,2,1,0.5,4
967,2,1,0.5,6
979,2,1,0.5,4
527,16,8,0.5,25
217,2,1,0.5,5
705,2,1,0.5,4
316,2,1,0.5,4
65,15,7,0.4666666666666667,22
970,9,4,0.4444444444444444,13
550,5,2,0.4,5
19,18,6,0.3333333333333333,29
141,3,1,0.3333333333333333,8
221,3,1,0.3333333333333333,7
824,3,1,0.3333333333333333,8
123,18,6,0.3333333333333333,31
2,9,3,0.3333333333333333,13
75,18,5,0.2777777777777778,29
1037,40,11,0.275,61
28,11,3,0.2727272727272727,15
1016,4,1,0.25,7
160,4,1,0.25,9
81,4,1,0.25,7
652,12,3,0.25,19
106,8,2,0.25,17
639,4,1,0.25,5
286,4,1,0.25,9
780,5,1,0.2,8
246,5,1,0.2,9
708,5,1,0.2,8
457,6,1,0.16666666666666666,10
486,6,1,0.16666666666666666,8
442,6,1,0.16666666666666666,14
405,78,13,0.16666666666666666,135
437,7,1,0.14285714285714285,14
101,7,1,0.14285714285714285,14
321,7,1,0.14285714285714285,16
451,15,2,0.13333333333333333,20
264,9,1,0.1111111111111111,19
1115,55,6,0.10909090909090909,99
862,10,1,0.1,23
196,105,10,0.09523809523809523,172
949,11,1,0.09090909090909091,20
1214,11,1,0.09090909090909091,22
1134,14,1,0.07142857142857142,31
391,14,1,0.07142857142857142,28
1233,14,1,0.07142857142857142,22
1035,43,3,0.06976744186046512,83
200,16,1,0.0625,33
220,50,3,0.06,87
1174,18,1,0.05555555555555555,27
475,20,1,0.05,38
192,21,1,0.047619047619047616,40
530,21,1,0.047619047619047616,36
163,65,3,0.046153846153846156,127
174,67,3,0.04477611940298507,125
784,45,2,0.044444444444444446,84
458,23,1,0.043478260869565216,42
293,23,1,0.043478260869565216,52
236,49,2,0.04081632653061224,92
72,50,2,0.04,85
243,75,3,0.04,144
567,26,1,0.038461538461538464,55
871,27,1,0.037037037037037035,59
1243,98,3,0.030612244897959183,190
1204,66,2,0.030303030303030304,130
851,99,3,0.030303030303030304,183
805,113,3,0.02654867256637168,214
146,38,1,0.02631578947368421,77
867,41,1,0.024390243902439025,83
177,44,1,0.022727272727272728,93
607,139,3,0.02158273381294964,240
429,95,2,0.021052631578947368,186
257,100,2,0.02,199
7,108,2,0.018518518518518517,188
134,55,1,0.01818181818181818,105
552,55,1,0.01818181818181818,106
1184,57,1,0.017543859649122806,118
1266,58,1,0.017241379310344827,117
565,61,1,0.01639344262295082,123
227,66,1,0.015151515151515152,133
927,68,1,0.014705882352941176,130
396,70,1,0.014285714285714285,137
320,72,1,0.013888888888888888,128
363,77,1,0.012987012987012988,153
313,78,1,0.01282051282051282,147
801,79,1,0.012658227848101266,149
318,83,1,0.012048192771084338,171
631,84,1,0.011904761904761904,168
260,87,1,0.011494252873563218,175
53,89,1,0.011235955056179775,174
12,91,1,0.01098901098901099,186
242,93,1,0.010752688172043012,161
751,118,1,0.00847457627118644,225
925,1,0,0.0,4
924,6,0,0.0,11
926,1,0,0.0,3
928,1,0,0.0,3
929,1,0,0.0,4
930,12,0,0.0,25
931,3,0,0.0,9
932,1,0,0.0,4
933,1,0,0.0,3
895,1,0,0.0,3
896,82,0,0.0,153
904,4,0,0.0,10
903,3,0,0.0,7
905,1,0,0.0,4
906,7,0,0.0,18
907,1,0,0.0,4
902,8,0,0.0,16
908,5,0,0.0,12
909,1,0,0.0,3
901,1,0,0.0,4
910,1,0,0.0,2
934,2,0,0.0,6
900,7,0,0.0,13
911,20,0,0.0,43
917,4,0,0.0,11
899,1,0,0.0,3
913,2,0,0.0,5
898,2,0,0.0,6
914,1,0,0.0,4
915,2,0,0.0,4
916,2,0,0.0,7
897,1,0,0.0,4
918,1,0,0.0,3
919,8,0,0.0,14
920,3,0,0.0,7
921,3,0,0.0,7
922,2,0,0.0,5
923,3,0,0.0,8
912,1,0,0.0,4
998,1,0,0.0,4
997,1,0,0.0,3
996,1,0,0.0,3
995,1,0,0.0,4
994,1,0,0.0,4
993,5,0,0.0,12
992,1,0,0.0,3
991,63,0,0.0,120
990,9,0,0.0,14
957,1,0,0.0,3
988,1,0,0.0,3
987,2,0,0.0,4
986,5,0,0.0,13
985,1,0,0.0,3
984,1,0,0.0,4
983,1,0,0.0,3
982,1,0,0.0,3
981,1,0,0.0,4
980,1,0,0.0,3
989,1,0,0.0,3
1020,1,0,0.0,4
1018,5,0,0.0,11
1017,14,0,0.0,29
1015,4,0,0.0,11
1014,18,0,0.0,36
1013,1,0,0.0,4
1012,1,0,0.0,3
1011,1,0,0.0,3
1010,1,0,0.0,1
999,1,0,0.0,3
1008,3,0,0.0,8
1007,1,0,0.0,3
1006,2,0,0.0,7
1005,2,0,0.0,5
1004,1,0,0.0,3
1003,4,0,0.0,8
1002,2,0,0.0,4
1001,1,0,0.0,4
1000,2,0,0.0,6
